yr,slr,gs,rho,sscfactor,dP,dM,A,z0,end_z,recovery_time
20,0.0,0.035,1400,0.25,0,0.003,0.7,0.65,1.8948624557648188,324021600.0
20,0.0,0.035,1400,0.5,0,0.003,0.7,0.65,2.0471797835860452,164520000.0
20,0.0,0.035,1400,0.75,0,0.003,0.7,0.65,2.111171576557994,104691600.0
20,0.0,0.035,1400,1.0,0,0.003,0.7,0.65,2.1514652313568696,76078800.0
20,0.0,0.035,1400,1.25,0,0.003,0.7,0.65,2.176595203024254,68968800.0
20,0.0,0.035,1400,1.5,0,0.003,0.7,0.65,2.1946596412115715,46836000.0
20,0.0,0.035,1400,1.75,0,0.003,0.7,0.65,2.207649065263099,43038000.0
20,0.0,0.035,1400,2.0,0,0.003,0.7,0.65,2.2173445836932504,40492800.0
20,0.0,0.035,1400,2.25,0,0.003,0.7,0.65,2.226390613894219,38296800.0
20,0.0,0.035,1400,2.5,0,0.003,0.7,0.65,2.234688641883366,36644400.0
20,0.0,0.035,1400,2.75,0,0.003,0.7,0.65,2.242172611472799,33066000.0
20,0.0,0.035,1400,3.0,0,0.003,0.7,0.65,2.2469676977115793,28908000.0
20,0.0025,0.035,1400,0.25,0,0.003,0.7,0.65,1.9238524964901302,328669200.0
20,0.0025,0.035,1400,0.5,0,0.003,0.7,0.65,2.0773561684552178,165819600.0
20,0.0025,0.035,1400,0.75,0,0.003,0.7,0.65,2.1386730473959124,105501600.0
20,0.0025,0.035,1400,1.0,0,0.003,0.7,0.65,2.1832101826725347,76168800.0
20,0.0025,0.035,1400,1.25,0,0.003,0.7,0.65,2.205641788430671,69141600.0
20,0.0025,0.035,1400,1.5,0,0.003,0.7,0.65,2.2250710144790067,46839600.0
20,0.0025,0.035,1400,1.75,0,0.003,0.7,0.65,2.238218205287558,43074000.0
20,0.0025,0.035,1400,2.0,0,0.003,0.7,0.65,2.2495872273300366,40532400.0
20,0.0025,0.035,1400,2.25,0,0.003,0.7,0.65,2.2588985463736577,38296800.0
20,0.0025,0.035,1400,2.5,0,0.003,0.7,0.65,2.268870916643067,36730800.0
20,0.0025,0.035,1400,2.75,0,0.003,0.7,0.65,2.2733877725369283,33235200.0
20,0.0025,0.035,1400,3.0,0,0.003,0.7,0.65,2.2783755965334365,28994400.0
20,0.005,0.035,1400,0.25,0,0.003,0.7,0.65,1.953053525497594,351788400.0
20,0.005,0.035,1400,0.5,0,0.003,0.7,0.65,2.1088727574551487,166939200.0
20,0.005,0.035,1400,0.75,0,0.003,0.7,0.65,2.1709116261533463,105721200.0
20,0.005,0.035,1400,1.0,0,0.003,0.7,0.65,2.2119666222191796,76255200.0
20,0.005,0.035,1400,1.25,0,0.003,0.7,0.65,2.239359348007868,69688800.0
20,0.005,0.035,1400,1.5,0,0.003,0.7,0.65,2.2577217655277537,47012400.0
20,0.005,0.035,1400,1.75,0,0.003,0.7,0.65,2.2718657879548365,43077600.0
20,0.005,0.035,1400,2.0,0,0.003,0.7,0.65,2.282854180845051,40575600.0
20,0.005,0.035,1400,2.25,0,0.003,0.7,0.65,2.29265277587842,38336400.0
20,0.005,0.035,1400,2.5,0,0.003,0.7,0.65,2.3009482985342453,36774000.0
20,0.005,0.035,1400,2.75,0,0.003,0.7,0.65,2.3075797851280733,33328800.0
20,0.005,0.035,1400,3.0,0,0.003,0.7,0.65,2.31404695397148,28994400.0
20,0.0075,0.035,1400,0.25,0,0.003,0.7,0.65,1.9809387475903857,357112800.0
20,0.0075,0.035,1400,0.5,0,0.003,0.7,0.65,2.140659825984814,168148800.0
20,0.0075,0.035,1400,0.75,0,0.003,0.7,0.65,2.2049134997987534,105897600.0
20,0.0075,0.035,1400,1.0,0,0.003,0.7,0.65,2.242326838502324,76388400.0
