datetime,elevation
2015-01-01 06:00:00,0.36
2015-01-01 09:00:00,1.85
2015-01-01 10:15:00,2.02
2015-01-01 12:00:00,1.45
2015-01-01 15:00:00,-0.07
2015-01-01 17:00:00,-0.55
2015-01-01 18:00:00,0
2015-01-02 06:00:00,-0.35
2015-01-02 09:00:00,1.62
2015-01-02 11:15:00,2.29
2015-01-02 12:00:00,2.16
2015-01-02 15:00:00,0.53
2015-01-02 18:00:00,-0.54
2015-01-03 06:00:00,-0.44
2015-01-03 09:00:00,1.15
2015-01-03 12:00:00,2.39
2015-01-03 15:00:00,1.02
2015-01-03 18:00:00,-0.45
2015-01-04 06:00:00,-0.12
2015-01-04 07:40:00,-0.61
2015-01-04 09:00:00,0.39
2015-01-04 12:00:00,2.32
2015-01-04 12:45:00,2.39
2015-01-04 15:00:00,1.43
2015-01-04 18:00:00,-0.33
2015-01-05 06:00:00,0.13
2015-01-05 08:25:00,-0.61
2015-01-05 09:00:00,-0.21
2015-01-05 12:00:00,2.08
2015-01-05 13:25:00,2.41
2015-01-05 15:00:00,1.8
2015-01-05 18:00:00,-0.07
2015-01-06 06:00:00,0.48
2015-01-06 08:55:00,-0.72
2015-01-06 09:00:00,-0.7
2015-01-06 12:00:00,1.9
2015-01-06 13:45:00,2.47
2015-01-06 15:00:00,2.14
2015-01-06 18:00:00,0.26
2015-01-07 06:00:00,0.76
2015-01-07 09:00:00,-0.43
2015-01-07 09:25:00,-0.75
2015-01-07 12:00:00,1.52
2015-01-07 14:25:00,2.46
2015-01-07 15:00:00,2.24
2015-01-07 18:00:00,0.57
2015-01-08 06:00:00,1.05
2015-01-08 09:00:00,-0.58
2015-01-08 09:55:00,-0.72
2015-01-08 12:00:00,1.09
2015-01-08 15:00:00,2.45
2015-01-08 18:00:00,0.95
2015-01-09 06:00:00,1.39
2015-01-09 09:00:00,-0.4
2015-01-09 10:30:00,-0.71
2015-01-09 12:00:00,0.62
2015-01-09 15:00:00,2.35
2015-01-09 15:30:00,2.4
2015-01-09 18:00:00,1.22
2015-01-10 06:00:00,1.54
2015-01-10 09:00:00,-0.14
2015-01-10 10:50:00,-0.64
2015-01-10 12:00:00,0.17
2015-01-10 15:00:00,2.1
2015-01-10 16:00:00,2.3
2015-01-10 18:00:00,1.53
