ssc,slr,inundation
0.2,0,1236
0.5,0,537
1,0,275
1.5,0,185
2,0,140
0.2,0.003,1325
0.5,0.003,568
1,0.003,291
1.5,0.003,195
2,0.003,148
0.2,0.005,1386
0.5,0.005,592
1,0.005,302
1.5,0.005,202
2,0.005,154
0.2,0.008,1484
0.5,0.008,628
1,0.008,320
1.5,0.008,214
2,0.008,162
0.2,0.01,1551
0.5,0.01,655
1,0.01,332
1.5,0.01,222
2,0.01,168
0.2,0.015,1723
0.5,0.015,725
1,0.015,366
1.5,0.015,244
2,0.015,184
0.2,0.02,1907
0.5,0.02,797
1,0.02,401
1.5,0.02,267
2,0.02,202
0.2,0.05,3044
0.5,0.05,1299
1,0.05,641
1.5,0.05,422
2,0.05,318
