yr,slr,gs,rho,sscfactor,dP,dM,A,z0,end_z,inundation hours
20,0.0,0.035,1400,0.25,0,0.002,0.7,0.65,1.8948624557648188,145
20,0.0,0.035,1400,0.5,0,0.002,0.7,0.65,2.0471797835860452,39
20,0.0,0.035,1400,0.75,0,0.002,0.7,0.65,2.111171576557994,21
20,0.0,0.035,1400,1.0,0,0.002,0.7,0.65,2.1514652313568696,14
20,0.0,0.035,1400,1.25,0,0.002,0.7,0.65,2.176595203024254,11
20,0.0,0.035,1400,1.5,0,0.002,0.7,0.65,2.1946596412115715,8
20,0.0,0.035,1400,1.75,0,0.002,0.7,0.65,2.207649065263099,5
20,0.0,0.035,1400,2.0,0,0.002,0.7,0.65,2.2173445836932504,5
20,0.0,0.035,1400,2.25,0,0.002,0.7,0.65,2.226390613894219,2
20,0.0,0.035,1400,2.5,0,0.002,0.7,0.65,2.234688641883366,2
20,0.0,0.035,1400,2.75,0,0.002,0.7,0.65,2.242172611472799,2
20,0.0,0.035,1400,3.0,0,0.002,0.7,0.65,2.2469676977115793,2
20,0.0025,0.035,1400,0.25,0,0.002,0.7,0.65,1.9238524964901302,162
20,0.0025,0.035,1400,0.5,0,0.002,0.7,0.65,2.0773561684552178,46
20,0.0025,0.035,1400,0.75,0,0.002,0.7,0.65,2.1386730473959124,24
20,0.0025,0.035,1400,1.0,0,0.002,0.7,0.65,2.1832101826725347,19
20,0.0025,0.035,1400,1.25,0,0.002,0.7,0.65,2.205641788430671,13
20,0.0025,0.035,1400,1.5,0,0.002,0.7,0.65,2.2250710144790067,11
20,0.0025,0.035,1400,1.75,0,0.002,0.7,0.65,2.238218205287558,8
20,0.0025,0.035,1400,2.0,0,0.002,0.7,0.65,2.2495872273300366,7
20,0.0025,0.035,1400,2.25,0,0.002,0.7,0.65,2.2588985463736577,5
20,0.0025,0.035,1400,2.5,0,0.002,0.7,0.65,2.268870916643067,4
20,0.0025,0.035,1400,2.75,0,0.002,0.7,0.65,2.2733877725369283,2
20,0.0025,0.035,1400,3.0,0,0.002,0.7,0.65,2.2783755965334365,2
20,0.005,0.035,1400,0.25,0,0.002,0.7,0.65,1.953053525497594,182
20,0.005,0.035,1400,0.5,0,0.002,0.7,0.65,2.1088727574551487,55
20,0.005,0.035,1400,0.75,0,0.002,0.7,0.65,2.1709116261533463,29
20,0.005,0.035,1400,1.0,0,0.002,0.7,0.65,2.2119666222191796,20
20,0.005,0.035,1400,1.25,0,0.002,0.7,0.65,2.239359348007868,16
20,0.005,0.035,1400,1.5,0,0.002,0.7,0.65,2.2577217655277537,13
20,0.005,0.035,1400,1.75,0,0.002,0.7,0.65,2.2718657879548365,11
20,0.005,0.035,1400,2.0,0,0.002,0.7,0.65,2.282854180845051,9
20,0.005,0.035,1400,2.25,0,0.002,0.7,0.65,2.29265277587842,8
20,0.005,0.035,1400,2.5,0,0.002,0.7,0.65,2.3009482985342453,7
20,0.005,0.035,1400,2.75,0,0.002,0.7,0.65,2.3075797851280733,5
20,0.005,0.035,1400,3.0,0,0.002,0.7,0.65,2.31404695397148,5
20,0.0075,0.035,1400,0.25,0,0.002,0.7,0.65,1.9809387475903857,193
20,0.0075,0.035,1400,0.5,0,0.002,0.7,0.65,2.140659825984814,66
20,0.0075,0.035,1400,0.75,0,0.002,0.7,0.65,2.2049134997987534,35
20,0.0075,0.035,1400,1.0,0,0.002,0.7,0.65,2.242326838502324,23
20,0.0075,0.035,1400,1.25,0,0.002,0.7,0.65,2.271071501554353,19
20,0.0075,0.035,1400,1.5,0,0.002,0.7,0.65,2.2941422412936,16
20,0.0075,0.035,1400,1.75,0,0.002,0.7,0.65,2.3029269168796427,14
20,0.0075,0.035,1400,2.0,0,0.002,0.7,0.65,2.3193765209732646,13
20,0.0075,0.035,1400,2.25,0,0.002,0.7,0.65,2.3301467801251277,11
20,0.0075,0.035,1400,2.5,0,0.002,0.7,0.65,2.335050024761097,8
20,0.0075,0.035,1400,2.75,0,0.002,0.7,0.65,2.3425889513837146,8
20,0.0075,0.035,1400,3.0,0,0.002,0.7,0.65,2.349494422061107,7
20,0.01,0.035,1400,0.25,0,0.002,0.7,0.65,2.012197488318629,221
20,0.01,0.035,1400,0.5,0,0.002,0.7,0.65,2.1756259437012755,77
20,0.01,0.035,1400,0.75,0,0.002,0.7,0.65,2.2392802763285844,40
20,0.01,0.035,1400,1.0,0,0.002,0.7,0.65,2.2740335071842894,29
20,0.01,0.035,1400,1.25,0,0.002,0.7,0.65,2.304544859510994,21
20,0.01,0.035,1400,1.5,0,0.002,0.7,0.65,2.3261478334750665,19
20,0.01,0.035,1400,1.75,0,0.002,0.7,0.65,2.3426180126912475,16
20,0.01,0.035,1400,2.0,0,0.002,0.7,0.65,2.351025727006084,14
20,0.01,0.035,1400,2.25,0,0.002,0.7,0.65,2.365227565138956,13
20,0.01,0.035,1400,2.5,0,0.002,0.7,0.65,2.3730423705600123,11
20,0.01,0.035,1400,2.75,0,0.002,0.7,0.65,2.379808790093582,10
20,0.01,0.035,1400,3.0,0,0.002,0.7,0.65,2.3838795965677138,8
20,0.0125,0.035,1400,0.25,0,0.002,0.7,0.65,2.0446649611451155,242
20,0.0125,0.035,1400,0.5,0,0.002,0.7,0.65,2.209382072943654,87
20,0.0125,0.035,1400,0.75,0,0.002,0.7,0.65,2.2716020196663895,48
20,0.0125,0.035,1400,1.0,0,0.002,0.7,0.65,2.3082711761339363,35
20,0.0125,0.035,1400,1.25,0,0.002,0.7,0.65,2.338116631093418,23
20,0.0125,0.035,1400,1.5,0,0.002,0.7,0.65,2.362412511758773,20
20,0.0125,0.035,1400,1.75,0,0.002,0.7,0.65,2.3779281875238696,19
20,0.0125,0.035,1400,2.0,0,0.002,0.7,0.65,2.3905556817887295,16
